ID;LatePayment;Age;Education;Income;Prop_Income
165;0;41;2;161,1;1,48
166;0;48;1;18,5;1,48
167;0;23;1;18,4;1,5
168;0;25;2;20,4;1,5
169;0;32;1;34;1,5
170;0;36;2;206,5;1,5
171;0;25;1;24,9;1,51
172;0;35;2;36;1,51
173;1;23;2;27,2;1,52
174;0;49;2;127,2;1,52
175;0;34;3;24,4;1,55
176;0;38;1;31,9;1,55
177;0;44;1;24,1;1,55
178;0;28;1;30,5;1,57
179;0;32;2;27,4;1,57
180;0;34;1;22,3;1,57
181;0;43;2;24,7;1,57
182;0;31;1;38,6;1,6
183;0;33;1;25;1,6
184;0;40;1;43,3;1,6
185;0;42;1;61,4;1,6
186;0;45;2;80,8;1,6
187;0;55;2;255,3;1,6
188;0;56;2;187,3;1,6
189;1;25;1;20,1;1,61
190;0;43;1;105,5;1,61
191;0;39;3;33,7;1,62
192;0;56;3;96,4;1,62
193;0;27;1;25,5;1,63
194;0;34;2;34,8;1,63
195;0;35;2;43,2;1,63
196;0;36;1;24,4;1,63
197;0;40;1;28,7;1,63
198;0;29;2;40,3;1,64
199;0;36;1;19,1;1,64
200;0;23;1;26,8;1,65
201;0;33;3;21;1,65
202;0;28;1;20,3;1,66
203;0;32;3;42,5;1,67
204;0;36;2;63,9;1,67
205;0;37;1;31,6;1,67
206;0;39;1;29,2;1,67
207;0;25;1;26,8;1,68
208;0;32;1;24,3;1,68
209;0;35;2;63,8;1,68
210;0;36;1;30,6;1,68
211;0;48;2;28,9;1,68
212;0;40;1;29,5;1,69
213;0;42;1;22,3;1,69
214;0;45;1;110,2;1,69
215;0;47;1;61,8;1,69
216;0;41;3;44,2;1,7
217;0;33;2;40,5;1,73
218;0;32;2;57,5;1,74
219;0;27;2;17,4;1,75
220;0;31;2;61,7;1,75
221;0;42;1;37,3;1,75
222;0;46;2;90,5;1,76
223;1;50;2;64,1;1,76
224;0;38;1;37,7;1,77
225;0;25;1;21;1,78
226;0;43;1;25,9;1,78
227;1;27;3;19,1;1,79
228;0;33;1;19,5;1,79
229;1;22;1;17,8;1,8
230;0;39;2;24,5;1,8
231;0;43;2;38,7;1,8
232;0;44;3;46;1,8
233;0;24;1;16,4;1,81
234;0;25;1;16,3;1,81
235;0;33;2;138,6;1,81
236;0;25;3;23;1,82
237;1;26;2;32,3;1,83
238;0;43;1;76,9;1,83
239;0;33;1;67,3;1,84
240;0;47;1;51,4;1,84
241;0;48;2;73,5;1,84
242;0;25;1;14,6;1,85
243;0;37;2;57,1;1,85
244;0;42;2;41,7;1,85
245;0;44;1;76,1;1,85
246;0;52;1;102,8;1,86
247;0;45;1;57,2;1,87
248;0;40;1;34,3;1,88
249;0;55;1;117,6;1,88
250;0;22;2;84,7;1,89
251;0;28;2;35,8;1,89
252;0;36;1;28,6;1,89
253;0;30;1;37,7;1,9
254;0;30;2;50,6;1,9
255;0;45;2;64,3;1,9
256;0;30;1;25,5;1,91
257;0;34;2;37,9;1,91
258;0;24;1;35,6;1,92
259;0;26;1;19,9;1,92
260;0;29;2;40,1;1,92
261;0;33;1;42,9;1,92
262;0;34;2;39;1,92
263;0;40;3;46,9;1,92
264;1;47;1;25,3;1,93
265;0;36;1;83,4;1,94
266;0;43;2;26;1,94
267;0;33;2;24,1;1,95
268;0;34;1;82,9;1,95
269;0;45;2;76,1;1,95
270;0;33;1;24,1;1,96
271;1;42;2;29,2;1,96
272;0;25;3;50,1;1,97
273;0;38;1;35,4;1,97
274;1;24;1;20,4;1,98
275;0;31;2;34;1,98
276;0;35;1;43,2;1,99
277;0;42;3;26,4;1,99
278;0;42;3;32,4;1,99
279;0;41;2;58,9;2
280;1;29;3;76,6;2,01
281;0;31;2;60,3;2,01
282;0;41;2;71,9;2,01
283;0;25;2;16,1;2,03
284;0;30;2;20;2,03
285;0;33;3;66;2,03
286;0;46;1;129,6;2,03
287;0;32;2;40,9;2,04
288;0;34;1;27,3;2,04
289;0;35;1;30,4;2,04
290;0;22;1;19,7;2,05
291;0;37;2;33,9;2,05
292;0;43;2;115,3;2,05
293;0;53;2;38,5;2,05
294;0;37;2;44;2,06
295;0;36;2;28,6;2,07
296;0;37;3;39,3;2,07
297;0;38;1;42,1;2,07
298;0;44;1;40,6;2,07
299;1;41;1;30,2;2,08
300;0;41;2;74,1;2,08
301;1;24;2;21,6;2,09
302;0;27;2;15,8;2,09
303;0;32;1;47,4;2,09
304;0;22;2;31,2;2,1
305;0;32;1;31,4;2,1
306;0;32;1;38,1;2,1
307;0;41;1;34;2,1
308;0;41;2;54,4;2,1
309;0;30;2;84,7;2,11
310;1;24;1;25,1;2,13
311;0;39;2;33,4;2,13
312;0;51;3;27,1;2,13
313;0;31;2;27,8;2,14
314;0;36;1;31,6;2,14
315;0;39;2;60,2;2,14
316;0;41;1;19,7;2,14
317;0;42;1;30,2;2,14
318;0;26;2;29,4;2,15
319;0;28;2;31,7;2,15
320;0;33;1;28,7;2,15
321;0;33;1;68,7;2,17
322;1;26;2;27,4;2,18
323;1;33;1;60,8;2,18
324;0;33;1;36;2,18
325;0;38;1;55,4;2,18
326;0;45;1;23,9;2,18
327;1;27;1;21,4;2,2
328;0;33;1;44,2;2,2
329;0;38;1;29,9;2,2
330;0;52;2;35;2,2
331;0;33;1;31,6;2,21
332;0;36;1;72,9;2,21
333;0;45;2;68,2;2,21
334;0;26;1;30,7;2,22
335;0;30;2;45,3;2,22
336;0;45;3;145,2;2,22
337;0;36;1;43,1;2,23
338;0;56;2;189,2;2,23
339;0;31;2;22,2;2,24
340;0;34;2;19,2;2,24
341;0;38;1;20;2,24
342;0;41;2;48;2,24
343;0;32;2;57,9;2,25
344;0;22;2;19,4;2,26
345;0;27;1;21,4;2,26
346;0;27;2;30,6;2,27
347;0;32;1;25,8;2,27
348;0;36;1;90,4;2,27
349;0;32;1;48,2;2,28
350;0;31;2;55,2;2,29
351;0;36;1;22,9;2,29
352;0;37;1;39,4;2,29
353;0;37;2;46;2,29
354;0;44;1;123,1;2,29
355;0;45;2;38,4;2,3
356;0;26;1;23,4;2,31
357;0;31;1;44,3;2,31
358;1;35;1;26,4;2,31
359;0;35;2;37;2,31
360;0;41;1;49,1;2,31
361;0;51;1;39,6;2,31
362;0;20;2;29,3;2,32
363;1;42;1;27,9;2,33
364;0;36;1;31,2;2,34
365;0;40;3;72,5;2,34
366;0;42;2;52,4;2,34
367;1;27;2;18,4;2,35
368;0;28;1;27,5;2,35
369;0;28;2;51,7;2,35
370;0;32;1;31,9;2,35
371;0;33;2;15,2;2,35
372;0;41;1;28,6;2,35
373;0;31;1;35,8;2,36
374;0;32;1;46,3;2,36
375;0;30;2;55,4;2,37
376;0;36;1;28;2,37
377;0;37;3;25,9;2,37
378;1;32;1;15,5;2,38
379;0;50;1;43,8;2,38
380;0;24;2;33,6;2,39
381;0;42;2;75,7;2,39
382;0;46;1;20,6;2,39
383;1;47;1;78,1;2,39
384;0;53;2;190,3;2,39
385;0;35;3;31,2;2,4
386;0;38;1;91,7;2,4
387;0;41;2;28,1;2,4
388;1;36;1;31,3;2,41
389;0;36;1;59,1;2,41
390;0;36;2;44;2,41
391;0;24;1;16,7;2,42
392;0;28;1;30,5;2,42
393;0;33;2;98;2,42
394;0;37;1;23,8;2,42
395;0;30;2;35,5;2,43
396;0;35;2;71,7;2,43
397;0;36;1;41;2,43
398;0;41;2;98,1;2,43
399;0;44;1;30,2;2,43
400;0;28;2;16,8;2,44
401;0;32;1;33,9;2,44
402;0;46;2;143,3;2,44
403;0;52;3;174;2,44
404;0;31;1;26,6;2,45
405;0;37;2;49,2;2,47
406;1;38;1;21,8;2,47
407;0;40;2;32,8;2,47
408;0;42;2;108,5;2,47
409;0;39;2;44,2;2,49
410;0;24;1;18,5;2,5
411;1;26;3;50,1;2,5
412;0;44;1;71,7;2,5
413;0;52;2;225,1;2,5
414;0;26;2;12,3;2,51
415;0;32;1;43,6;2,52
416;0;38;1;25,2;2,52
417;0;46;1;33,7;2,52
418;0;48;2;139,5;2,52
419;0;28;1;24,2;2,53
420;0;29;2;25,5;2,53
421;0;35;1;29,7;2,54
422;1;41;2;42,8;2,54
423;1;28;1;22,5;2,55
424;1;30;1;18,4;2,55
425;0;32;2;21,3;2,55
426;0;37;2;84,3;2,55
427;0;31;3;29,6;2,56
428;0;41;1;55,6;2,57
429;0;46;1;43,4;2,57
430;0;31;2;16,6;2,58
431;0;44;2;55,4;2,58
432;0;31;1;25,4;2,59
433;0;31;2;39,5;2,59
434;0;34;2;46,3;2,59
435;0;38;2;76,9;2,59
436;0;51;1;27;2,59
437;0;25;2;19,6;2,6
438;0;55;1;176,8;2,6
439;1;30;1;52,7;2,61
440;0;32;1;37,7;2,61
441;0;35;1;48,5;2,61
442;1;37;2;31,7;2,61
443;0;22;1;25,5;2,63
444;0;41;1;21,2;2,64
445;0;41;2;23,2;2,64
446;0;24;1;16,4;2,65
447;0;27;2;37,2;2,65
448;0;28;1;30,9;2,65
449;0;30;1;25,2;2,65
450;0;30;2;21,6;2,65
451;0;45;1;25,5;2,65
452;0;23;2;21;2,67
453;0;36;2;57,9;2,67
454;0;38;1;44,6;2,67
455;0;42;1;22,9;2,67
456;0;27;1;20,5;2,68
457;0;43;3;167,7;2,69
458;0;29;3;33,1;2,7
459;0;36;1;42;2,7
460;0;43;1;44,3;2,7
461;0;48;1;130,9;2,7
462;0;25;1;25,5;2,71
463;1;30;3;64,3;2,71
464;0;26;1;28,2;2,72
465;0;44;2;181,9;2,72
466;0;33;1;29,3;2,73
467;0;47;2;197,2;2,73
468;0;49;2;56,9;2,73
469;1;23;1;14,7;2,74
470;0;31;1;40,6;2,74
471;0;32;2;60,5;2,74
472;0;37;1;77,6;2,75
473;0;33;3;49;2,76
474;0;35;1;48;2,76
475;0;50;2;26,4;2,76
476;0;35;2;72;2,77
477;0;39;2;80,5;2,77
478;0;36;2;39,5;2,78
479;0;43;1;38,4;2,78
480;0;25;1;19,3;2,79
481;0;28;1;26,5;2,79
482;0;44;1;93,6;2,79
483;0;51;1;36,1;2,79
484;0;35;3;43,1;2,8
485;0;40;1;40,7;2,8
486;0;46;2;52,3;2,8
487;0;23;3;17,7;2,81
488;0;28;2;37,8;2,81
489;1;32;1;21,3;2,81
490;0;37;2;28,8;2,81
491;0;39;2;37,5;2,81
492;0;55;3;150,9;2,81
493;1;24;3;23,3;2,82
494;0;47;1;21,5;2,82
495;1;37;2;57,4;2,83
496;0;32;1;19,3;2,84
497;0;38;2;28,8;2,84
498;0;43;1;72,7;2,84
499;0;41;1;62,3;2,85
500;0;20;2;16,5;2,86
501;0;28;1;24;2,86
502;1;31;2;27,6;2,86
503;0;38;1;21,9;2,86
504;0;51;1;212;2,86
505;0;22;1;18,7;2,87
506;0;22;1;20,3;2,87
507;0;26;2;24,1;2,87
508;0;33;3;45;2,87
509;1;38;1;22,1;2,87
510;0;26;1;43,7;2,88
511;0;40;1;57,6;2,88
512;0;46;1;127,5;2,88
513;0;49;2;64,3;2,88
514;0;30;2;22,3;2,89
515;0;34;2;57,6;2,89
516;0;43;1;108;2,89
517;0;50;1;25,7;2,89
518;0;34;1;24,5;2,9
519;0;39;1;34,4;2,9
520;0;48;1;78,5;2,9
521;0;35;1;19,1;2,91
522;0;46;1;24;2,91
523;0;37;1;40,6;2,92
524;0;52;1;43,5;2,92
525;0;24;1;27,9;2,93
526;0;39;1;61,7;2,93
527;0;41;3;44,9;2,93
528;0;43;1;40,4;2,93
529;1;45;2;58;2,93
530;0;22;1;21,1;2,94
531;0;39;1;124,3;2,95
532;0;23;2;22,7;2,96
533;0;25;2;42,2;2,96
534;0;33;1;25,1;2,96
535;0;36;1;35,6;2,97
536;0;26;1;37,6;2,98
537;0;36;1;51,4;2,98
538;0;54;3;389,8;2,98
539;0;23;1;20,8;2,99
540;0;41;2;28,5;2,99
541;0;29;1;22,4;3
542;0;41;1;31,4;3
543;0;44;1;18,3;3
544;0;53;1;175,6;3
545;0;23;2;17,1;3,01
546;0;43;1;23;3,01
547;0;43;2;63,2;3,01
548;0;35;2;23;3,02
549;0;42;1;73,8;3,02
550;0;26;1;28,3;3,03
551;0;28;1;35,6;3,03
552;0;34;1;50,1;3,03
553;0;37;2;38,1;3,03
554;0;34;1;70,7;3,04
555;0;37;1;33,3;3,04
556;0;44;1;65;3,04
557;0;28;1;20,6;3,05
558;0;41;3;53,1;3,05
559;1;28;3;22,3;3,06
560;0;29;1;57,5;3,06
561;0;43;2;34,1;3,06
562;0;31;2;15,6;3,07
563;0;36;1;24,8;3,07
564;0;38;1;43,3;3,07
565;0;38;2;72,5;3,07
566;1;48;1;39,4;3,07
567;0;24;3;27,9;3,08
568;1;21;2;13,8;3,09
569;0;33;1;28,1;3,1
570;0;33;2;51,2;3,1
571;0;36;3;64,2;3,1
572;0;37;2;16,3;3,1
573;0;36;1;42,4;3,11
574;1;37;2;65,7;3,11
575;0;40;1;29,3;3,11
576;0;41;2;65,8;3,11
577;0;44;1;56,5;3,11
578;0;29;3;53,2;3,12
579;0;42;2;40,9;3,12
580;0;44;2;106,3;3,12
581;0;43;1;24,9;3,13
582;0;46;3;111,5;3,13
583;0;32;1;30,8;3,14
584;0;47;1;89,8;3,14
585;0;24;1;21,5;3,15
586;0;29;1;93,4;3,15
587;0;47;2;60,2;3,15
588;0;22;2;29;3,16
589;0;27;1;25,3;3,16
590;0;27;1;28,4;3,16
591;0;46;1;34,1;3,16
592;0;42;1;50;3,17
593;1;21;2;26,5;3,18
594;1;25;2;29,9;3,18
595;0;27;1;20,6;3,18
596;0;28;2;35,2;3,18
597;0;46;2;31,2;3,18
598;0;50;1;191,2;3,18
599;0;27;1;33,9;3,19
600;0;37;1;18,6;3,19
601;0;38;1;46,3;3,19
602;0;32;2;26,3;3,2
603;0;33;1;20,2;3,2
604;0;45;2;120,1;3,2
605;0;27;1;19,6;3,21
606;0;38;2;22,5;3,21
607;0;28;1;21,5;3,22
608;1;40;2;37,2;3,22
609;0;30;2;51,3;3,23
610;0;30;3;24,5;3,23
611;0;33;2;27,5;3,23
612;0;40;1;32,8;3,23
613;0;54;2;25,7;3,23
614;0;30;1;33,9;3,24
615;0;38;3;77,1;3,24
616;0;29;1;18,2;3,25
617;0;33;1;17,7;3,25
618;0;23;1;17,9;3,26
619;0;24;1;23,3;3,26
620;1;28;1;17,4;3,26
621;0;31;1;31,9;3,26
622;0;33;1;24,7;3,26
623;0;46;2;104,5;3,26
624;0;28;1;32,1;3,27
625;0;36;1;67,1;3,27
626;0;24;1;15,6;3,28
627;0;38;1;22,6;3,28
628;0;38;2;43,6;3,28
629;0;40;2;24,6;3,28
630;0;43;1;34,8;3,28
631;0;43;2;102;3,28
632;0;26;2;19,8;3,3
633;0;33;2;46,4;3,3
634;0;42;1;18,6;3,3
635;0;45;1;40,6;3,3
636;0;26;1;19,7;3,31
637;0;26;1;21,6;3,31
638;0;33;1;75,2;3,31
639;0;34;1;35,3;3,31
640;0;36;1;36,1;3,31
641;0;43;1;77,2;3,31
642;0;23;1;23,5;3,32
643;0;30;1;27,7;3,32
644;0;31;1;24,2;3,32
645;0;37;3;76,1;3,32
646;0;26;1;19,3;3,33
647;0;33;2;61,7;3,33
648;0;40;2;36,4;3,33
649;0;46;2;84,1;3,33
650;0;30;2;29,8;3,34
651;0;39;1;41,8;3,34
652;0;40;1;33,5;3,34
653;0;46;2;26,4;3,34
654;0;49;2;67,5;3,34
655;0;53;1;217,7;3,34
656;1;34;1;27,4;3,35
657;0;37;3;49,7;3,35
658;0;45;3;100,5;3,35
659;0;51;2;79,4;3,35
660;0;43;2;142,6;3,36
661;0;33;2;56,5;3,37
662;0;46;2;84,3;3,37
663;0;34;1;34,2;3,38
664;0;40;2;200,5;3,38
665;0;51;1;40,4;3,38
666;0;29;2;55,7;3,39
667;0;44;1;54,5;3,39
668;0;50;2;50,8;3,39
669;0;22;2;16,3;3,4
670;0;30;1;47,2;3,41
671;0;42;1;49,5;3,41
672;0;50;2;43,1;3,41
673;0;27;1;31,5;3,42
674;1;38;1;30,9;3,42
675;0;43;2;67,7;3,42
676;0;50;1;21,4;3,42
677;0;51;1;51,9;3,42
678;0;24;1;19,6;3,43
679;1;31;2;31,7;3,43
680;0;31;1;28,4;3,43
681;0;33;1;23,3;3,43
682;0;38;2;61;3,43
683;0;42;1;52;3,43
684;0;33;1;27,4;3,44
685;1;40;2;44;3,44
686;0;23;1;21;3,45
687;1;28;2;17,8;3,45
688;0;51;1;30,2;3,45
689;0;26;3;59,5;3,46
690;0;29;1;22,2;3,46
691;0;31;3;36,4;3,46
692;0;33;3;32,2;3,46
693;0;43;1;75,5;3,46
694;0;48;1;50,3;3,46
695;0;24;1;14,9;3,47
696;0;28;1;19,7;3,47
697;0;40;2;24,5;3,47
698;0;35;2;31,8;3,48
699;0;41;1;37,9;3,48
700;0;44;3;24,7;3,48
701;0;49;2;128,6;3,48
702;0;56;1;51,9;3,48
703;0;30;2;38,8;3,49
704;0;30;2;24,4;3,49
705;0;31;1;44,6;3,49
706;0;32;2;46,8;3,49
707;0;45;1;43,8;3,49
708;1;27;1;16,5;3,51
709;0;27;1;20,6;3,51
710;0;28;2;25,3;3,51
711;0;31;2;73,5;3,51
712;0;36;1;43,8;3,51
713;0;33;1;27,8;3,52
714;0;39;2;41,4;3,52
715;1;41;1;21,8;3,52
716;0;39;1;20,1;3,53
717;0;28;1;25,2;3,54
718;0;35;2;44,3;3,54
719;0;36;2;129,1;3,55
720;0;38;1;33,5;3,55
721;0;42;1;21,1;3,55
722;0;32;2;34,5;3,56
723;0;34;2;38,1;3,56
724;0;35;2;66;3,56
725;0;37;1;23,1;3,56
726;0;23;2;20,9;3,57
727;0;32;2;49,5;3,57
728;0;35;2;70,2;3,57
729;0;42;2;88,6;3,57
730;0;33;1;20,8;3,58
731;0;37;1;23;3,58
732;0;35;1;35,8;3,6
733;0;43;1;39,6;3,6
734;1;25;1;20,4;3,61
735;0;29;1;34,8;3,61
736;0;30;3;24,6;3,61
737;0;37;1;22;3,61
738;0;39;1;25,1;3,61
739;0;39;1;30,2;3,61
740;0;47;1;53,6;3,61
741;0;29;2;37;3,62
742;0;33;2;81,2;3,62
743;0;37;2;38,4;3,62
744;0;41;2;29;3,62
745;0;42;1;40,6;3,62
746;0;47;2;72,5;3,62
747;0;50;2;66,3;3,62
748;0;27;1;21;3,63
749;0;42;1;22,4;3,63
750;0;38;1;77,9;3,64
751;0;40;1;42,5;3,64
752;0;23;1;18,9;3,65
753;0;28;2;23,5;3,65
754;0;32;2;25,9;3,65
755;0;41;2;66,5;3,65
756;0;46;1;152,9;3,65
757;0;46;2;76,3;3,65
758;0;31;1;42,7;3,66
759;0;37;1;38,3;3,66
760;0;41;2;67,3;3,66
761;0;43;1;34;3,66
762;0;50;1;107,8;3,66
763;1;26;1;20,4;3,67
764;0;33;2;35,2;3,67
765;0;35;1;24,9;3,67
766;0;46;1;45,1;3,67
767;1;32;2;34,1;3,68
768;0;33;1;35,4;3,68
769;0;34;3;98,8;3,68
770;1;37;1;26,3;3,68
771;0;38;1;41,5;3,68
772;1;32;1;17,9;3,69
773;0;34;2;37,7;3,69
774;0;40;1;41,7;3,69
775;0;24;2;29,1;3,7
776;0;36;2;35,5;3,7
777;0;37;2;66,2;3,7
778;0;37;2;25,6;3,7
779;0;46;1;50,9;3,7
780;0;28;1;26,3;3,72
781;0;32;2;132,5;3,72
782;0;35;1;34,7;3,72
783;0;36;1;53;3,72
784;0;37;1;59,4;3,72
785;0;37;2;34,3;3,72
786;0;38;1;67,4;3,72
787;0;40;1;20,9;3,72
788;0;42;1;46,4;3,72
789;0;32;1;41,2;3,73
790;0;39;2;75,7;3,73
791;0;41;3;92,3;3,73
792;0;42;1;20,1;3,73
793;0;43;1;35;3,73
794;0;29;1;18,6;3,74
795;0;32;3;42,3;3,74
796;0;42;1;28,5;3,74
797;1;22;1;13,8;3,75
798;1;27;2;60,2;3,75
799;0;31;2;49,3;3,75
800;0;41;2;41,5;3,75
801;0;46;2;42,8;3,75
802;1;26;2;41,8;3,76
803;0;26;3;17,5;3,77
804;0;28;1;25,4;3,77
805;0;29;1;18,6;3,77
806;0;30;2;25,1;3,77
807;0;32;1;35,3;3,77
808;0;33;1;35,8;3,77
809;0;38;2;49,5;3,77
810;0;44;2;29,8;3,77
811;0;45;1;100,9;3,77
812;0;26;2;25,5;3,78
813;0;33;2;36,6;3,78
814;0;34;2;47,3;3,78
815;0;41;1;43,2;3,78
816;0;51;1;64,8;3,78
817;0;34;1;27;3,79
818;0;41;2;22,1;3,79
819;0;43;1;33,8;3,79
820;0;25;1;21;3,8
821;0;28;2;34;3,8
822;0;32;1;27,7;3,8
823;0;37;2;41;3,8
824;1;25;2;23,6;3,81
825;0;33;1;27,8;3,81
826;0;33;2;46,1;3,81
827;0;34;2;43,7;3,81
828;0;39;1;22,9;3,81
829;0;41;2;81,2;3,81
830;0;48;1;45,3;3,81
831;1;49;1;26,8;3,81
832;0;25;2;30,8;3,82
833;0;30;1;22,7;3,82
834;0;35;2;27,2;3,82
835;0;40;1;31,4;3,82
836;0;24;1;16,3;3,83
837;0;25;1;19,2;3,83
838;1;26;2;21,6;3,83
839;0;39;2;58,7;3,83
840;0;51;1;34,9;3,83
841;0;35;1;30,8;3,84
842;0;39;1;56,8;3,84
843;0;55;1;22,9;3,84
844;1;25;3;22,6;3,85
845;0;32;1;28,6;3,85
846;0;38;2;66,3;3,85
847;0;40;2;32,4;3,85
848;0;23;1;29,4;3,86
849;0;31;1;33,1;3,86
850;0;32;1;80,6;3,86
851;0;26;2;15,5;3,87
852;0;35;1;25,5;3,87
853;0;41;1;52,3;3,87
854;0;48;1;26,1;3,87
855;0;31;1;25,1;3,88
856;1;37;2;27,3;3,88
857;0;37;1;39,5;3,88
858;0;39;2;71,7;3,88
859;1;35;3;31,3;3,89
860;0;37;2;33,5;3,9
861;0;36;1;35,9;3,91
862;0;40;1;22,6;3,91
863;1;28;1;27,1;3,92
864;1;29;1;17,2;3,92
865;0;29;1;23,4;3,92
866;0;33;1;47,7;3,92
867;0;30;1;34,7;3,93
868;0;32;1;30,1;3,93
869;0;41;2;37,9;3,93
870;0;42;2;54;3,93
871;0;48;2;103,9;3,93
872;0;21;2;16,6;3,94
873;0;24;1;19,3;3,94
874;0;37;2;22,2;3,94
875;0;40;1;76,8;3,94
876;0;42;2;117,1;3,94
877;0;27;1;16;3,95
878;0;27;1;17,8;3,95
879;0;38;2;50,6;3,95
880;0;42;2;43,6;3,95
881;0;32;2;23,8;3,96
882;0;23;3;58,2;3,97
883;0;26;2;23,6;3,97
884;0;41;2;42,9;3,97
885;0;30;2;55,4;3,98
886;0;48;2;248,3;3,98
887;0;29;2;35,1;3,99
888;0;42;3;41,6;3,99
889;0;45;2;120,3;3,99
890;0;37;1;46;4
891;0;49;1;76,4;4
892;1;26;1;17,6;4,01
